[2025-07-23T09:00:30.518+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSV50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.535+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSVFL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.588+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEMAV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.599+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUETCC50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.605+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEMAVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.650+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEVFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.658+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEVN100: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.832+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.929+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GDT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.932+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GAS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.947+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:30.976+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GEX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.057+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GMH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.065+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GIL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:31.213+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý GMD: Expecting value: line 1 column 1 (char 0)
