[2025-07-23T08:43:47.554+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.563+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.687+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.727+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.805+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CVT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.823+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý D2D: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.833+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DAH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.934+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.962+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.090+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.110+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.121+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DC4: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.190+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DCL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.197+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.355+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DGC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.393+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.409+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DGW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.457+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.467+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.622+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.669+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DIG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.699+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DLG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.725+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.734+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.859+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.907+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.994+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DQC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.009+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.033+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.094+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.138+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.253+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSE: Expecting value: line 1 column 1 (char 0)
