[2025-07-23T08:35:52.438+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.445+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý E1VFVN30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.678+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.693+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.746+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EIB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.779+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý EVF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.804+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ELC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.861+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.897+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FIR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.904+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.953+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FIT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.954+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FCN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.088+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FPT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.141+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCTVGF3: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.193+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.220+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCTVGF5: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.243+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FRT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.261+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FTS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.271+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCVREIT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.309+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUCTVGF4: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.412+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEBFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.459+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEFCV50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.511+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEABVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.582+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEDCMID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.593+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEIP100: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.609+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEKIV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.656+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEKIVFS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.752+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEKIVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.757+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUEMAVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:53.815+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý FUESSV50: Expecting value: line 1 column 1 (char 0)
