[2025-07-24T10:59:40.079+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FDC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.124+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý EVE: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.211+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý EVG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.252+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DXG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.266+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ELC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.291+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FMC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.317+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý E1VFVN30: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.419+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý EIB: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.424+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FCM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.444+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý EVF: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.451+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FCN: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.696+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FIR: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.742+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FTS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.808+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FIT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.896+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUCTVGF3: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:40.913+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FPT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.025+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FRT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:41.030+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý FUEBFVND: Expecting value: line 1 column 1 (char 0)
