[2025-07-24T11:05:52.426+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HII
[2025-07-24T11:05:52.474+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HSG
[2025-07-24T11:05:52.479+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HPG
[2025-07-24T11:05:52.490+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HNA
[2025-07-24T11:05:52.511+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HPX
[2025-07-24T11:05:52.737+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAS
[2025-07-24T11:05:52.777+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTI
[2025-07-24T11:05:52.827+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTV
[2025-07-24T11:05:52.837+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HUB
[2025-07-24T11:05:52.906+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HRC
[2025-07-24T11:05:52.913+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HVH
[2025-07-24T11:05:53.078+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HU1
[2025-07-24T11:05:53.084+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HSL
[2025-07-24T11:05:53.118+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HT1
[2025-07-24T11:05:53.123+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho IMP
[2025-07-24T11:05:53.238+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTG
[2025-07-24T11:05:53.242+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HTL
[2025-07-24T11:05:53.322+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ITD
