[2025-07-24T11:09:50.806+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FIT
[2025-07-24T11:09:50.821+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FTS
[2025-07-24T11:09:50.917+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEABVND
[2025-07-24T11:09:50.943+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FPT
[2025-07-24T11:09:50.950+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCVREIT
[2025-07-24T11:09:50.993+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEBFVND
[2025-07-24T11:09:51.056+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FRT
[2025-07-24T11:09:51.137+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCTVGF5
[2025-07-24T11:09:51.200+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEIP100
[2025-07-24T11:09:51.292+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEDCMID
[2025-07-24T11:09:51.327+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEFCV50
[2025-07-24T11:09:51.391+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCTVGF4
[2025-07-24T11:09:51.487+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEMAVND
[2025-07-24T11:09:51.557+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEKIVFS
[2025-07-24T11:09:51.599+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUESSV30
[2025-07-24T11:09:51.799+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUESSVFL
[2025-07-24T11:09:51.821+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEKIV30
[2025-07-24T11:09:51.828+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUETCC50
[2025-07-24T11:09:51.919+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEKIVND
[2025-07-24T11:09:51.929+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GAS
[2025-07-24T11:09:51.963+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEMAV30
[2025-07-24T11:09:52.024+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEVFVND
[2025-07-24T11:09:52.031+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GDT
[2025-07-24T11:09:52.074+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GEE
[2025-07-24T11:09:52.223+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GEX
[2025-07-24T11:09:52.243+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUEVN100
[2025-07-24T11:09:52.286+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUESSV50
[2025-07-24T11:09:52.296+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GIL
[2025-07-24T11:09:52.341+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GMD
[2025-07-24T11:09:52.489+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GEG
[2025-07-24T11:09:52.647+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GTA
[2025-07-24T11:09:52.720+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GSP
[2025-07-24T11:09:52.733+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAG
[2025-07-24T11:09:52.755+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GMH
[2025-07-24T11:09:52.825+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAR
[2025-07-24T11:09:52.958+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GVR
[2025-07-24T11:09:53.091+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAP
[2025-07-24T11:09:53.097+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAS
[2025-07-24T11:09:53.168+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HCM
[2025-07-24T11:09:53.173+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAH
[2025-07-24T11:09:53.178+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAX
[2025-07-24T11:09:53.215+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HDG
[2025-07-24T11:09:53.228+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HDB
